wA_hE_1	wA_hEM_1	wA_hE_1	wI_hE_1	we_hEM_1	wI_hEM_1								
wA_WA_1	wA_WA_1	wA_WI_1	we_We_1	wI_WIM_1	wI_WI_1	wA_WI_1	wA_We_1	we_WIM_1	wA_WAM_1				
wA_huA_1	wA_huA_1	wA_huI_1	we_huA_1	wI_huo_1	wA_huo_1	we_huo_1	wI_huI_1	we_huI_1	wA_hue_1	we_hue_1	wI_huA_1	wA_huE_1	wI_huE_1
wA_hogA_1	wA_hogA_1	wA_hogI_1	we_hoMge_1										
0_rahA_hE_1	0_rahI_hE_1	0_rahe_hEM_1	0_rahI_hEM_1	0_rahe_ho_1	0_rahI_he_1								
0_rahA_hE_2                                                                                                                                                                                                                                                        	0_rahI_hE_2	0_rahe_hEM_2	0_rahI_hEM_2	0_rahe_ho_2									
0_rahA_WA_1	0_rahA_WA_1	0_rahI_WI_1	0_rahe_WeM_1	0_rahI_WIM_1	0_rahe_We_1	0_rahA_WAM_1							
0_rahA_wA_2	0_rahA_WA_2	0_rahI_WI_2	0_rahe_WeM_2	0_rahI_WIM_2	0_rahe_We_2	0_rahA_WAM_2							
0_rahA_hogA_1	0_rahA_hogA_1	0_rahI_hogI_1	0_rahe_hoge_1	0_rahe_hoMge_1	0_rahA_hogAM_1	0_rahI_hoMgI_1	0_rahA_ho_1						
0_rahA_hogA_2	0_rahA_hogA_2	0_rahI_hogI_2	0_rahe_hoge_2	0_rahe_hoMge_2	0_rahA_hogAM_2	0_rahI_hoMgI_2	0_rahA_ho_2						
0_sakawA_hE_1	0_sakawe_hEM_1	0_sakawI_hE_1	0_sakawe_hEM_1	0_sakawI_hEM_1	0_sakawe_ho_1								
0_sakawA_hE_2	0_sakawe_hEM_2	0_sakawI_hE_2	0_sakawe_hEM_2	0_sakawI_hEM_2	0_sakawe_ho_2								
0_sakawA_hE_3	0_sakawe_hEM_3	0_sakawI_hE_3	0_sakawe_hEM_3	0_sakawI_hEM_3	0_sakawe_ho_3								
0_sakawA_WA_1	0_sakawe_WeM_1	0_sakawI_WI_1	0_sakawe_WeM_1	0_sakawI_WIM_1	0_sakawe_We_1								
0_sakawA_1	0_sakawA_1	0_sakawI_1	0_sakawe_1	0_sakaweM_1									
0_sakA_1	0_sakA_1	0_sakI_1	0_sake_1	0_sakeM_1									
0_sakegA_1	0_sakegA_1	0_sakegI_1	0_sakeMge_1										
yA_jA_yA_hE_1	yA_jA_yA1_hEM_1	yA_jA_yA1_hE_1	yA_jA_yA_hEM_1	yA_jA_yA_hEM_1									
yA_jA_yA_hE_2	yA_jA_yA1_hEM_2	yA_jA_yA1_hE_2	yA_jA_yA_hEM_2	yA_jA_yA_hEM_2									
yA_jA_yA_WA_1	yA_gayA_WA_1	yI_gayI_WI_1	ye_gaye_WeM_1	yI_gayI_WIM_1	ye_gaye_We_1	yI_gayI_WI_1	ye_gayeM_WeM_1	gayIM_1					
yA_jA_yA_WA_2	yA_gayA_WA_2	yI_gayI_WI_2	ye_gaye_WeM_2	yI_gayI_WIM_2	ye_gaye_We_2	yI_gayI_WI_2	ye_gayeM_WeM_2	gayIM_2					
yA_jA_yA_1	yA_gayA_1	yI_gayI_1	ye_gaye_1	yI_gayIM_1	yA_gayAM_1	ye_gayeM_1							
yA_jA_wA_hE_1	yA_jAwA_hE_1	yA_jAwI_hE_1	yA_jAwe_hE_1	yA_jAwA_hEM_1	yI_jAwI_hEM_1	yA_jAwe_hEM_1							
yA_jA_wA_WA_1	yA_jAwA_WA_1	yI_jAwI_WI_1	ye_jAwe_We_1	yA_jAwA_WAM_1	yI_jAwI_WIM_1	ye_jAwe_WeM_1							
yA_jA_gA_1	yA_jAyegA_1	yI_jAyegI_1	ye_jAyeMge_1	yI_jAyegIM_1	yA_jAyegAM_1	ye_jAyege_1							
yA_jA_rahA_hE_1	yA_jA_rahA_hE_1	yI_jA_rahI_hE_1	ye_jA_rahe_hE_1	yA_jA_rahA_hEM_1	yI_jA_rahI_hEM_1	ye_jA_rahe_hEM_1							
yA_jA_rahA_WA_1	yA_jA_rahA_WA_1	yI_jA_rahI_WI_1	ye_jA_rahe_We_1	yA_jA_rahA_WAM_1	yI_jA_rahI_WIM_1	ye_jA_rahe_WeM_1							
yA_hE_1	yA_hE_1	yI_hE_1	ye_hE_1	ye_hEM_1	yA_ho_1	ye_ho_1	yI_ho_1	yA_hEM_1	yA_hUz_1	ye_hUM_1	yA_heM_1	subj_hEM_1	
yA_hE_2	yA_hE_2	yI_hE_2	ye_hE_2	ye_hEM_2	yA_ho_2	ye_ho_2	yI_ho_2	yA_hEM_2	yA_hUz_2	ye_hUM_2			
yA_hogA_1	yA_hogA_1	yA_hogI_1	yA_hoge_1	yI_hogI_1	ye_hoge_1	ye_hoMge_1	yI_hoMgI_1	yA_hoMgI_1	yA_ho_1	subj_hoMge_1			
yA_hogA_2	yA_hogA_2	yA_hogI_2	yA_hoge_2	yI_hogI_2	ye_hoge_2	ye_hoMge_2	yI_hoMgI_2	yA_hoMgI_2	yA_ho_2				
yA_hogA_3	yA_hogA_3	yA_hogI_3	yA_hoge_3	yI_hogI_3	ye_hoge_3	ye_hoMge_3	yI_hoMgI_3	yA_hoMgI_3					
yA_1	yA_1	yI_1	ye_1	0_gae_1	subj_gaI_1								
gA_1	gA_1	gI_1	ge_1										
gA_2	gA_2	gI_2	ge_2										
yA_WA_1	yA_WA_1	yI_WI_1	ye_We_1	yA_WI_1									
yA_WA_2	yA_WA_2	yA_WA_2	yA_WA_2										
0_cukA_hE_1	0_cukA_hE_1	0_cukI_hE_1	0_cuke_hE_1	0_cukA_hEM_1	0_cukI_hEM_1	0_cuke_hEM_1	subj_hEM_1						
0_cukA_WA_1	0_cukA_WA_1	0_cukI_WI_1	0_cuke_We_1	0_cuke_WeM_1	0_cukI_WIM_1	0_cukA_WAM_1							
0_cukA_hogA_1	0_cukA_hogA_1	0_cukI_hogI_1	0_cuke_hoge_1	0_cuke_hoMge_1	0_cukI_hoMgI_1	0_cukA_hoMgA_1	cukI_hoMgI						
nA_cAhie_1	nA_cAhie_1	nI_cAhie_1	ne_cAhie_1	ne_cAhieM_1									
nA_cAhie_2	nA_cAhie_2	nI_cAhie_2	ne_cAhie_2	ne_cAhieM_2									
nA_padawA_hE_1	nA_padawI_hEM_1	nA_padawA_hEM_1	nA_padawA_hE_1	nA_padawI_hE_1	nA_padawe_hEM_1	nA_padawe_hE_1							
nA_padawA_WA_1	nA_padawI_WIM_1	nA_padawA_WAM_1	nA_padawA_WA_1	nA_padawI_WI_1	nA_padawE_WeM_1	nA_padawe_We_1							
nA_hE_1	nA_hE_1	nA_hEM_1	nI_hE_1	nI_hEM_1									
nA_hogA_1	nA_hogI_1	nA_hoge_1	nA_hogeM_1	nI_hogI_1	ne_hoge_1	ne_hoMge_1	nI_hogIM_1	nA_hogA_1	nA_hogAM_1				
nA_padZA_1	nA_padZA_1	nI_padZI_1	ne_padZe_1	ne_padZeM_1									
nA_padZegA_1	nA_padZegA_1	nI_padZegI_1	ne_padZeMge_1	nA_padZegAM_1	nI_padZegIM_1	ne_padZege_1							
AI_xI_1	AI_xI_1	AI_xIM_1	AI_xIyA_1	AI_xIye_1	AI_xeM_1	AI_xIyeM_1							
wA_rahA_hE_1	wA_rahA_hE_1	wI_rahI_hE_1	we_rahe_hE_1	wA_rahA_hEM_1	wI_rahI_hEM_1	we_rahe_hEM_1							
wA_rahawA_hE_1	wA_rahawA_hE_1	wI_rahawI_hE_1	we_rahawe_hE_1	wA_rahawA_hEM_1	wI_rahawI_hEM_1	we_rahawe_hEM_1	wA_rahawI_hEM_1						
wA_rahA_WA_1	wA_rahA_WA_1	wI_rahI_WI_1	we_rahe_We_1	wA_rahA_WAM_1	wI_rahI_WIM_1	we_rahe_WeM_1							
wA_rahawA_WA_1	wA_rahawA_WA_1	wI_rahawI_WI_1	we_rahawe_We_1	wA_rahawA_WeM_1	wI_rahawI_WIM_1	we_rahawe_WeM_1							
wA_rahA_hogA_1	wA_rahA_hogA_1	wI_rahI_hogI_1	we_rahe_hoge_1	wA_rahA_hoMgA_1	wI_rahI_hoMgI_1	we_rahe_hoMge_1							
wA_rahawA_hogA_1	wA_rahawA_hogA_1	wI_rahawI_hogI_1	we_rahawe_hoge_1	wA_rahawA_hoMgA_1	wI_rahawI_hoMgI_1	we_rahawe_hoMge_1							
e_1	e_1	eM_1	subj_1	subj_e_1									
o_1	o_1	oM_1	ie_1	subj_1  eM_1    imper_o_1								
o_2	gA_2	geM_2	iegA_2	subj_1	iegAM_1						
nA_lagA_1	unk_lagI_1												
wA_rahA_1	wA_rahA_e_1												